sigle;session;section;mode;jour;heure_debut;heure_fin
CHM-0150;A26;A;P;3;18:30;21:20
CHM-0150;A26;B;P;3;08:30;11:20
CHM-0150;H26;A;P;3;18:30;21:20
CHM-0150;A25;A;P;3;18:30;21:20
CHM-0150;A25;B;P;3;08:30;11:20
CHM-0150;A25;C;P;3;13:30;16:20
CHM-0150;A20;;;;;
CHM-0150;A21;;;;;
CHM-0150;A22;;;;;
CHM-0150;A23;;;;;
CHM-0150;A24;;;;;
CHM-0150;A27;;;;;
CHM-0150;A28;;;;;
CHM-0150;A29;;;;;
CHM-0150;A30;;;;;
CHM-0150;A31;;;;;
CHM-0150;H21;;;;;
CHM-0150;H22;;;;;
CHM-0150;H23;;;;;
CHM-0150;H24;;;;;
CHM-0150;H25;;;;;
CHM-0150;H27;;;;;
CHM-0150;H28;;;;;
CHM-0150;H29;;;;;
CHM-0150;H30;;;;;
CHM-0150;H31;;;;;
ECN-4901;E26;;;;;
ECN-4901;H26;;;;;
ECN-4901;E21;;;;;
ECN-4901;E22;;;;;
ECN-4901;E23;;;;;
ECN-4901;E24;;;;;
ECN-4901;E25;;;;;
ECN-4901;E27;;;;;
ECN-4901;E28;;;;;
ECN-4901;E29;;;;;
ECN-4901;E30;;;;;
ECN-4901;E31;;;;;
ECN-4901;H21;;;;;
ECN-4901;H22;;;;;
ECN-4901;H23;;;;;
ECN-4901;H24;;;;;
ECN-4901;H25;;;;;
ECN-4901;H27;;;;;
ECN-4901;H28;;;;;
ECN-4901;H29;;;;;
ECN-4901;H30;;;;;
ECN-4901;H31;;;;;
ENT-1000;A26;A;P;4;09:00;11:50
ENT-1000;A26;B;P;4;12:30;15:20
ENT-1000;E26;;;;;
ENT-1000;H26;A;P;4;09:00;11:50
ENT-1000;H26;B;P;4;12:30;15:20
ENT-1000;A20;;;;;
ENT-1000;A21;;;;;
ENT-1000;A22;;;;;
ENT-1000;A23;;;;;
ENT-1000;A24;;;;;
ENT-1000;A25;;;;;
ENT-1000;A27;;;;;
ENT-1000;A28;;;;;
ENT-1000;A29;;;;;
ENT-1000;A30;;;;;
ENT-1000;A31;;;;;
ENT-1000;E21;;;;;
ENT-1000;E22;;;;;
ENT-1000;E23;;;;;
ENT-1000;E24;;;;;
ENT-1000;E25;;;;;
ENT-1000;E27;;;;;
ENT-1000;E28;;;;;
ENT-1000;E29;;;;;
ENT-1000;E30;;;;;
ENT-1000;E31;;;;;
ENT-1000;H21;;;;;
ENT-1000;H22;;;;;
ENT-1000;H23;;;;;
ENT-1000;H24;;;;;
ENT-1000;H25;;;;;
ENT-1000;H27;;;;;
ENT-1000;H28;;;;;
ENT-1000;H29;;;;;
ENT-1000;H30;;;;;
ENT-1000;H31;;;;;
ENT-2023;A26;;;;;
